GeneID,GeneSymbol,GeneBiotype,VH09_S40,VH06_S37,VH03_S34,VH02_S33,VH10_S41,VH11_S42,VH07_S38,VH04_S35,VH05_S36,VH12_S43,VH08_S39,VH01_S32
ENSMUSG00000090031,4732440D04Rik,antisense_RNA,510,206,329,289,284,307,396,264,121,338,269,310
ENSMUSG00000087247,Alkal1,protein_coding,31,7,16,32,16,11,15,10,5,31,11,43
ENSMUSG00000103355,Gm2147,processed_pseudogene,12,6,5,8,7,2,6,8,2,14,6,6
ENSMUSG00000102706,Gm7417,processed_pseudogene,6,12,2,5,12,7,9,10,12,7,5,9
ENSMUSG00000103845,Gm19026,processed_pseudogene,1,8,7,3,5,2,7,4,7,3,7,3
ENSMUSG00000033740,St18,protein_coding,10,0,0,6,5,11,2,2,4,7,2,6
ENSMUSG00000103329,Gm42492,TEC,0,0,1,1,0,0,0,0,0,0,0,0
ENSMUSG00000104385,Gm7449,processed_pseudogene,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000102135,Gm37108,processed_pseudogene,8,1,3,1,2,1,4,8,5,8,5,2
ENSMUSG00000103282,Gm37275,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102534,Gm37225,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102213,Gm37489,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103629,Gm5694,processed_pseudogene,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000051285,Pcmtd1,protein_coding,2244,752,1737,1386,1311,1577,1790,1232,378,1472,1464,1402
ENSMUSG00000098201,Gm26983,processed_pseudogene,36,17,29,33,33,27,31,29,3,29,39,29
ENSMUSG00000103509,Gm38372,TEC,653,213,568,467,447,563,601,420,90,479,483,445
ENSMUSG00000048538,Gm9826,processed_pseudogene,17,8,8,9,8,9,6,9,6,12,14,9
ENSMUSG00000103709,Nras-ps2,processed_pseudogene,0,0,0,0,0,0,0,1,0,0,0,1
ENSMUSG00000077244,Gm23274,snoRNA,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102768,Gm19002,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097797,Gm26901,lincRNA,35,17,24,26,28,26,18,15,14,26,28,33
ENSMUSG00000103498,Gm18984,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103067,Gm30414,lincRNA,9,0,0,0,0,3,0,0,0,0,1,0
ENSMUSG00000102320,Gm37791,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104226,Gm7470,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103903,Rps2-ps2,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103557,Gm38216,processed_pseudogene,0,0,1,2,0,0,0,0,0,0,0,0
ENSMUSG00000025909,Sntg1,protein_coding,46,0,3,15,26,25,6,2,0,27,2,28
ENSMUSG00000102647,Gm38024,TEC,4,0,0,0,2,0,1,0,0,0,0,0
ENSMUSG00000086235,Gm16284,processed_pseudogene,2,0,0,0,2,0,3,1,2,0,3,1
ENSMUSG00000102253,Gm38259,TEC,8,0,0,0,0,1,0,0,0,2,0,6
ENSMUSG00000093970,Gm23358,miRNA,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000103884,Gm37005,TEC,1,0,0,1,1,0,0,0,0,0,0,0
ENSMUSG00000084353,Gm15452,processed_pseudogene,1,0,3,0,4,2,2,1,0,0,0,2
ENSMUSG00000103933,Gm36964,processed_pseudogene,1,0,0,1,2,0,1,0,0,2,1,2
ENSMUSG00000076135,Gm24276,miRNA,1,0,0,0,1,1,1,0,0,0,0,1
ENSMUSG00000086195,Gm6152,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104504,Gm7445,processed_pseudogene,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000066693,Gm7493,processed_pseudogene,1,0,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000102316,Gm37629,TEC,2,0,0,4,0,0,0,0,0,1,0,0
ENSMUSG00000103819,Gm38008,processed_pseudogene,0,0,0,1,0,1,0,0,0,0,0,0
ENSMUSG00000102871,Gm37143,TEC,4,0,0,1,0,1,2,0,0,1,0,4
ENSMUSG00000101571,Gm6187,processed_pseudogene,2,0,0,0,0,2,0,0,0,0,0,0
ENSMUSG00000104428,Gm18299,processed_pseudogene,0,1,0,1,0,0,1,0,0,2,0,2
ENSMUSG00000102272,Gm7512,processed_pseudogene,2,0,0,0,1,1,0,0,0,0,0,2
ENSMUSG00000065625,Gm24765,snRNA,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103411,Gm18300,processed_pseudogene,16,3,9,6,14,13,7,8,4,13,4,24
ENSMUSG00000061024,Rrs1,protein_coding,1216,609,473,1016,967,671,660,485,595,1361,470,1185
ENSMUSG00000025911,Adhfe1,protein_coding,358,89,202,193,195,270,162,155,72,342,147,329
ENSMUSG00000079671,2610203C22Rik,processed_transcript,118,110,194,74,101,130,173,122,62,99,186,84
ENSMUSG00000081441,Gm6161,processed_pseudogene,12,9,10,6,9,4,3,9,4,2,7,6
ENSMUSG00000067879,3110035E14Rik,protein_coding,67,47,91,37,75,68,101,49,46,73,108,48
ENSMUSG00000099827,Gm29520,lincRNA,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025912,Mybl1,protein_coding,144,156,299,179,139,160,285,190,107,149,243,118
ENSMUSG00000045210,Vcpip1,protein_coding,3054,876,1980,2370,1825,2076,2169,1404,528,2363,1839,2200
ENSMUSG00000097893,1700034P13Rik,antisense_RNA,3,4,3,3,6,3,6,7,1,5,11,1
ENSMUSG00000025915,Sgk3,protein_coding,1227,539,919,720,747,1037,1119,697,361,872,917,817
ENSMUSG00000046334,Gm6195,processed_pseudogene,21,3,16,8,11,17,19,14,5,17,11,7
ENSMUSG00000088916,Gm22607,snRNA,6,2,8,1,4,7,7,2,0,7,4,1
ENSMUSG00000046101,Mcmdc2,protein_coding,85,32,63,67,59,62,59,48,19,102,50,68
ENSMUSG00000098234,Snhg6,lincRNA,324,160,220,325,243,200,265,194,81,322,199,288
ENSMUSG00000093178,Snord87,snoRNA,13,6,16,10,12,8,23,6,2,24,14,24
ENSMUSG00000099032,Tcf24,protein_coding,36,22,31,46,18,33,42,21,16,41,49,56
ENSMUSG00000104025,E330040D14Rik,TEC,0,0,0,2,0,2,3,1,3,2,0,0
ENSMUSG00000025916,Ppp1r42,protein_coding,23,6,16,22,14,30,10,7,5,26,8,24
ENSMUSG00000087199,Gm15818,antisense_RNA,1,1,1,1,4,4,2,4,0,9,2,2
ENSMUSG00000095780,Gm24674,snRNA,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025917,Cops5,protein_coding,1771,1129,1327,1523,1408,1202,1657,1118,795,1569,1332,1586
ENSMUSG00000056763,Cspp1,protein_coding,2960,1250,2411,2028,2154,2341,2584,1763,862,2528,2321,2413
ENSMUSG00000102356,1700047N06Rik,TEC,14,2,13,15,12,25,35,18,0,13,8,18
ENSMUSG00000067851,Arfgef1,protein_coding,7190,2595,4754,4757,4403,4847,5418,3378,1704,5520,4612,5105
ENSMUSG00000088153,Gm26348,misc_RNA,60,12,29,30,24,47,33,31,7,39,43,31
ENSMUSG00000102556,Gm37569,TEC,191,74,115,135,139,168,194,103,39,158,156,159
ENSMUSG00000042501,Cpa6,protein_coding,37,1,1,11,15,22,2,2,2,11,0,6
ENSMUSG00000103810,Gm38005,TEC,2,0,0,0,1,0,0,1,0,1,0,0
ENSMUSG00000083422,Gm15604,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000094979,Gm25253,snRNA,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000081417,Gm15603,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103448,Gm37133,TEC,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100212,Gm5522,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100648,Gm28659,processed_pseudogene,0,0,0,0,0,2,0,0,2,1,0,0
ENSMUSG00000088585,Gm22963,snoRNA,0,0,1,3,3,0,0,0,0,1,1,0
ENSMUSG00000048960,Prex2,protein_coding,18197,14723,20024,14364,13866,15863,24916,16242,10629,17087,21805,16324
ENSMUSG00000077318,Gm24173,snoRNA,47,14,55,49,31,28,40,31,2,25,46,35
ENSMUSG00000101827,Gm28686,processed_pseudogene,89,58,95,88,50,80,91,69,28,86,132,96
ENSMUSG00000103494,Gm37410,TEC,1,0,0,1,0,0,2,2,0,1,0,3
ENSMUSG00000057715,A830018L16Rik,protein_coding,31,20,48,40,50,59,55,26,26,61,29,64
ENSMUSG00000103825,Gm38178,TEC,6,0,1,4,4,3,1,3,0,5,1,2
ENSMUSG00000099845,Gm29273,processed_pseudogene,1,0,0,2,1,0,2,1,2,0,1,0
ENSMUSG00000103561,Gm38069,TEC,3,0,3,2,5,1,0,2,0,3,0,3
ENSMUSG00000101610,Gm7560,processed_pseudogene,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000093864,Gm22633,snRNA,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000098555,Mir6341,miRNA,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097628,Gm2383,processed_pseudogene,0,0,1,0,0,0,0,0,0,1,0,0
ENSMUSG00000098163,Gm6216,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097171,Gm17644,lincRNA,0,0,0,0,0,0,0,3,0,2,0,1
ENSMUSG00000101314,Gm29663,lincRNA,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000016918,Sulf1,protein_coding,1842,930,1394,1626,1477,1514,1507,1093,819,1808,1664,1727
ENSMUSG00000025938,Slco5a1,protein_coding,216,98,207,278,235,108,231,122,80,174,140,189
ENSMUSG00000104518,Gm37162,TEC,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000069620,Gm5250,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099498,Gm29283,lincRNA,0,0,0,0,0,3,0,0,0,0,0,0
ENSMUSG00000042414,Prdm14,protein_coding,0,0,0,1,4,0,2,1,0,1,0,0
ENSMUSG00000005886,Ncoa2,protein_coding,5121,2221,3788,3868,3314,3918,3789,2877,1826,4239,3794,4460
ENSMUSG00000103506,Gm38376,TEC,143,54,97,118,95,123,131,87,57,168,113,167
ENSMUSG00000103495,Gm37409,TEC,180,107,121,110,123,133,122,96,70,147,126,201
ENSMUSG00000099183,Gm27881,miRNA,16,2,17,16,10,6,6,1,1,8,5,5
ENSMUSG00000102639,Gm38223,TEC,71,33,37,64,46,54,75,57,31,63,69,71
ENSMUSG00000104170,Gm37702,TEC,190,75,125,149,145,166,136,114,94,214,133,191
ENSMUSG00000087782,Gm23169,snRNA,19,2,4,11,7,14,8,5,0,8,11,14
ENSMUSG00000103085,Gm38120,TEC,855,342,566,572,568,660,676,474,298,774,584,728
ENSMUSG00000102664,Gm38380,TEC,390,174,238,272,253,258,279,232,106,366,263,353
ENSMUSG00000101476,Gm29570,antisense_RNA,8,0,0,2,2,2,1,4,0,1,3,4
ENSMUSG00000101171,Gm7593,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000025935,Tram1,protein_coding,3924,1702,3109,2775,2542,2839,3485,2056,946,3221,2742,3055
ENSMUSG00000025937,Lactb2,protein_coding,750,500,756,573,589,643,873,536,349,617,719,565
ENSMUSG00000102982,Gm38319,TEC,80,47,52,56,65,65,72,56,30,68,61,50
ENSMUSG00000067813,Xkr9,protein_coding,0,0,0,0,0,0,2,0,0,0,2,0
ENSMUSG00000077368,Gm26273,snoRNA,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097711,Gm5523,processed_pseudogene,1,0,0,0,0,1,0,1,1,2,0,0
ENSMUSG00000102166,Gm36947,TEC,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089358,Gm25491,misc_RNA,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104209,Gm37400,TEC,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025932,Eya1,protein_coding,124,83,150,64,144,106,178,89,48,58,136,59
ENSMUSG00000095853,Gm22616,miRNA,2,4,4,0,0,1,0,0,0,0,2,0
ENSMUSG00000102588,Gm37444,TEC,2,2,2,2,3,3,1,1,0,1,4,2
ENSMUSG00000054493,Gm9947,antisense_RNA,9,1,8,9,12,7,10,14,0,16,8,17
ENSMUSG00000025930,Msc,protein_coding,45,9,20,21,89,67,17,7,21,33,7,45
ENSMUSG00000103492,Gm37412,TEC,7,0,0,1,3,3,3,1,1,2,1,1
ENSMUSG00000081201,Smt3h2-ps4,processed_pseudogene,0,0,0,0,1,0,1,0,0,0,1,0
ENSMUSG00000082193,Rpl5-ps1,processed_pseudogene,1,0,0,2,1,0,0,1,0,2,2,1
ENSMUSG00000032769,Trpa1,protein_coding,1,0,2,0,3,0,0,0,0,1,0,3
ENSMUSG00000088159,Gm26345,snoRNA,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000073737,Gm10566,processed_pseudogene,1,1,4,2,2,1,3,0,0,1,0,2
ENSMUSG00000092083,Kcnb2,protein_coding,321,517,704,609,421,372,893,600,360,593,824,430
ENSMUSG00000102937,Gm38116,TEC,40,69,106,49,58,40,147,88,47,66,107,61
ENSMUSG00000104149,Gm37138,TEC,30,40,65,55,38,33,86,59,10,45,72,47
ENSMUSG00000088829,Gm25227,snoRNA,3,0,2,3,3,1,3,1,0,2,3,1
ENSMUSG00000077377,Gm25168,snoRNA,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000101652,Gm6060,processed_pseudogene,0,0,0,1,0,0,1,0,1,0,1,0
ENSMUSG00000100814,Gm28669,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000025925,Terf1,protein_coding,757,389,594,575,566,482,701,453,352,594,546,569
ENSMUSG00000104379,Gm37509,TEC,53,13,31,36,25,26,34,29,9,42,23,26
ENSMUSG00000032719,Sbspon,protein_coding,28,31,48,23,53,58,42,24,52,24,24,17
ENSMUSG00000088943,Gm23259,misc_RNA,0,0,0,0,3,2,1,0,2,0,0,0
ENSMUSG00000100652,Gm7634,processed_pseudogene,0,0,0,1,0,0,1,0,0,0,0,0
ENSMUSG00000067795,4930444P10Rik,protein_coding,24,11,17,17,19,31,23,7,22,42,13,35
ENSMUSG00000043716,Rpl7,protein_coding,18276,12837,12509,11957,13045,12775,17394,11926,11578,15322,13248,13479
ENSMUSG00000025921,Rdh10,protein_coding,838,827,881,944,643,808,1212,758,697,1010,927,859
ENSMUSG00000104165,Gm38249,TEC,1,1,0,4,1,1,1,3,0,0,1,1
ENSMUSG00000100868,Gm28095,antisense_RNA,14,16,13,15,6,15,11,13,9,7,23,16
ENSMUSG00000025920,Stau2,protein_coding,563,396,662,443,403,460,679,436,219,431,632,448
ENSMUSG00000089982,Gm7568,antisense_RNA,13,16,12,14,10,10,25,9,8,19,19,12
ENSMUSG00000025939,Ube2w,protein_coding,1210,451,1019,857,782,866,1178,695,255,1038,1047,851
ENSMUSG00000102457,Gm38342,TEC,73,130,88,66,66,77,107,73,119,99,92,75
ENSMUSG00000079658,Eloc,protein_coding,1141,533,865,936,852,738,1127,675,252,1067,872,943
ENSMUSG00000097744,D030040B21Rik,lincRNA,5,0,0,3,2,1,1,0,0,5,0,5
ENSMUSG00000100959,Gm7654,processed_pseudogene,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000025940,Tmem70,protein_coding,564,388,442,430,471,436,584,292,282,559,432,449
ENSMUSG00000025779,Ly96,protein_coding,125,22,53,113,71,72,69,25,6,129,50,102
ENSMUSG00000100093,Gm29649,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000091020,Gm5828,processed_pseudogene,1,0,0,2,2,1,1,0,0,0,0,0
ENSMUSG00000101640,Gm28376,antisense_RNA,5,1,0,2,4,2,0,0,0,0,3,0
ENSMUSG00000104133,4921511E07Rik,TEC,2,1,1,2,1,2,2,0,1,2,2,2
ENSMUSG00000042686,Jph1,protein_coding,675,217,278,262,488,366,287,256,238,356,300,335
ENSMUSG00000100110,Gm28783,lincRNA,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025777,Gdap1,protein_coding,4,0,7,4,5,11,3,0,0,3,2,3
ENSMUSG00000099899,Gm28784,lincRNA,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100272,Gm28785,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100398,Gm5251,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101589,Rbm6-ps1,processed_pseudogene,1,0,0,3,2,3,6,2,0,5,1,4
ENSMUSG00000102048,Gm6075,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089534,Gm25166,snoRNA,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000067780,Pi15,protein_coding,1283,348,1278,1263,815,524,1296,623,332,1118,972,1788
ENSMUSG00000100053,Gm28154,antisense_RNA,47,13,22,37,23,15,40,12,29,45,25,76
ENSMUSG00000085125,Gm16070,antisense_RNA,11,20,31,20,18,23,26,10,8,15,18,23
ENSMUSG00000025776,Crispld1,protein_coding,95,61,142,75,87,97,140,86,62,92,145,61
ENSMUSG00000099895,Gm28153,antisense_RNA,4,0,2,2,4,4,12,0,0,0,3,2
ENSMUSG00000100554,Gm7690,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099473,Gm18775,transcribed_unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099591,Gm17969,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000109887,Gm28756,processed_transcript,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102001,Gm28755,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101717,Gm45784,transcribed_unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025774,Crisp4,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000070977,Defb44-ps,unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000073735,Defb18,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000067773,Defb41,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101685,Gm17837,processed_pseudogene,0,0,1,0,0,1,0,0,0,0,0,0
ENSMUSG00000101306,Gm5252,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088800,Gm24075,snoRNA,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101644,Gm28343,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099433,Gm28344,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089787,Gm15825,antisense_RNA,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000042596,Tfap2d,protein_coding,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100720,Gm10075,processed_pseudogene,2,0,2,2,0,6,0,1,2,2,2,1
ENSMUSG00000025927,Tfap2b,protein_coding,0,0,1,0,3,0,1,2,0,0,0,0
ENSMUSG00000100538,Gm28340,lincRNA,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101117,Gm28341,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100204,Gm4849,processed_pseudogene,1,1,0,0,1,1,1,0,0,0,0,0
ENSMUSG00000084668,Gm24633,snoRNA,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102597,Gm38382,TEC,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000043760,Pkhd1,protein_coding,246,224,352,259,317,238,334,242,181,280,292,166
ENSMUSG00000104095,Gm37315,TEC,1,3,2,1,1,0,3,0,1,0,0,1
ENSMUSG00000089914,4930486I03Rik,antisense_RNA,3,0,0,4,2,0,1,0,0,2,0,1
ENSMUSG00000090142,Gm15795,processed_pseudogene,1,0,2,0,1,0,4,1,0,3,0,2
ENSMUSG00000070175,Gm24162,snRNA,1,0,0,0,0,0,0,0,0,0,0,4
ENSMUSG00000065559,Mir206,miRNA,1,0,0,0,2,1,0,0,0,0,0,0
ENSMUSG00000099906,Gm28653,lincRNA,71,0,0,0,197,164,0,0,0,0,0,0
ENSMUSG00000065480,Mir133b,miRNA,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025929,Il17a,protein_coding,0,0,0,4,5,0,0,0,0,0,0,1
ENSMUSG00000041872,Il17f,protein_coding,2,0,0,9,1,2,1,0,1,5,1,3
ENSMUSG00000041859,Mcm3,protein_coding,1433,2485,2160,1543,1388,1244,2601,1653,2123,1489,2052,1163
ENSMUSG00000099714,Gm20587,processed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102121,Gm28065,lincRNA,2,0,0,0,0,0,0,2,0,0,0,0
ENSMUSG00000088858,Gm24723,snoRNA,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097934,6720483E21Rik,lincRNA,3,2,7,2,1,2,3,4,3,1,5,3
ENSMUSG00000025931,Paqr8,protein_coding,1134,588,836,774,556,724,1097,609,429,957,996,976
ENSMUSG00000077314,Gm24171,snoRNA,10,1,3,6,1,1,7,3,0,5,4,0
ENSMUSG00000100929,Gm28064,processed_pseudogene,3,0,3,4,2,1,1,0,0,3,5,0
ENSMUSG00000041809,Efhc1,protein_coding,203,111,205,171,164,258,260,149,87,261,209,192
ENSMUSG00000041779,Tram2,protein_coding,2232,1521,2248,2009,1688,1874,2393,1713,1081,2212,2372,2084
ENSMUSG00000099971,Gm28287,antisense_RNA,1,3,8,2,2,1,3,1,2,0,2,1
